Benchmark,Preprocessor,Solver,Timeout,Command,Ingest Duration (ns),Preprocess Duration (ns),SAT Solver Duration (ns),Theory Solver Duration (ns),Graph Overhead Duration (ns),Learn Overhead Duration (ns),Solver Calls,Theory Solver Loops,,,,,,,
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,,,,,,,,,,,,,,,
bench/queens_bench/n_queen/queen100-1.smt2,nil,tarjan,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1448663713,244,129465707665,14580197686,128916119250,27016625640,"18,150","68,042,894",,1.449,0.000,129.466,14.580,128.916,27.017
bench/queens_bench/n_queen/queen100-1.smt2,t-lin,tarjan,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1653508262,6610595,98796832106,32809314575,147097421717,21276389713,"15,733","142,395,436",,1.654,0.007,98.797,32.809,147.097,21.276
bench/queens_bench/n_queen/queen100-1.smt2,t-quad,tarjan,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1639390360,11560526,105242981751,29517785907,140340142786,24883831082,"16,115","122,350,857",,1.639,0.012,105.243,29.518,140.340,24.884
bench/queens_bench/n_queen/queen100-1.smt2,tie-lin,tarjan,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1435238086,23464983,106344367177,29826099290,142519848949,21286380053,"15,972","129,745,423",,1.435,0.023,106.344,29.826,142.520,21.286
bench/queens_bench/n_queen/queen100-1.smt2,tie-quad,bf-basic,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1447418361,102584403,8521520019,273332070369,16818604154,1326142081,"1,587","1,585,064,527",,1.447,0.103,8.522,273.332,16.819,1.326
bench/queens_bench/n_queen/queen100-1.smt2,tie-quad,bf-full,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1559691647,109397033,8897423513,273256774233,16425789259,1385892686,"1,562","1,559,875,285",,1.560,0.109,8.897,273.257,16.426,1.386
bench/queens_bench/n_queen/queen100-1.smt2,tie-quad,spfa-basic,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1661238225,87239023,10205865945,271304623913,16634562637,1700236420,"1,598","1,541,352,304",,1.661,0.087,10.206,271.305,16.635,1.700
bench/queens_bench/n_queen/queen100-1.smt2,tie-quad,spfa-full,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1678504386,78799114,111307016568,32908330797,133583896488,22185046229,"15,361","690,810,130",,1.679,0.079,111.307,32.908,133.584,22.185
bench/queens_bench/n_queen/queen100-1.smt2,tie-quad,tarjan,5m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='5m' bench/queens_bench/n_queen/queen100-1.smt2,1846326057,41489981,111491688531,29191623736,137525358166,21779896002,"15,958","131,964,029",,1.846,0.041,111.492,29.192,137.525,21.780
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,,,,,,,,,,,,,,,
bench/queens_bench/super_queen/super_queen100-1.smt2,nil,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1643052248,486,246212791843,38222554310,260726628270,54802689417,"36,571","165,678,326",,1.643,0.000,246.213,38.223,260.727,54.803
bench/queens_bench/super_queen/super_queen100-1.smt2,t-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1566295414,7268876,232347655315,31897452136,285113047844,50592239682,"35,357","129,898,023",,1.566,0.007,232.348,31.897,285.113,50.592
bench/queens_bench/super_queen/super_queen100-1.smt2,t-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1561970272,10729475,233517005632,34759292384,281801875626,49867586002,"34,367","143,246,445",,1.562,0.011,233.517,34.759,281.802,49.868
bench/queens_bench/super_queen/super_queen100-1.smt2,tie-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1555702727,83428901,244414933616,36265867784,269910541657,49370024199,"34,247","140,104,389",,1.556,0.083,244.415,36.266,269.911,49.370
bench/queens_bench/super_queen/super_queen100-1.smt2,tie-quad,bf-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1633054304,38097995,24877312362,535931709473,36032673667,3148921238,"3,687","2,988,366,121",,1.633,0.038,24.877,535.932,36.033,3.149
bench/queens_bench/super_queen/super_queen100-1.smt2,tie-quad,bf-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1658857136,82569612,25974325313,533987877875,36154782895,3849961379,"3,726","3,016,065,208",,1.659,0.083,25.974,533.988,36.155,3.850
bench/queens_bench/super_queen/super_queen100-1.smt2,tie-quad,spfa-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1855812995,32106680,24525689621,534479663719,37249901721,3650353248,"3,753","2,988,363,670",,1.856,0.032,24.526,534.480,37.250,3.650
bench/queens_bench/super_queen/super_queen100-1.smt2,tie-quad,spfa-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1658876518,36336982,258388433953,52266761574,242770280755,46541691164,"31,119","1,142,562,019",,1.659,0.036,258.388,52.267,242.770,46.542
